0.8434, With Shadow, Arrow,
2.4318, With Shadow, Arrow,
0.3957, With Shadow, Arrow,
1.5721, With Shadow, Tennis Ball,
1.0983, With Shadow, Tennis Ball,
0.5052, With Shadow, Tennis Ball,
0.4842, No Shadow, Arrow,
1.2629, No Shadow, Arrow,
0.0701, No Shadow, Arrow,
0.2093, No Shadow, Tennis Ball,
1.7349, No Shadow, Tennis Ball,
0.7691, No Shadow, Tennis Ball,
