1.1851, With Shadow, Arrow,
0.5763, With Shadow, Arrow,
0.7011, With Shadow, Arrow,
2.4993, With Shadow, Tennis Ball,
1.6896, With Shadow, Tennis Ball,
1.2634, With Shadow, Tennis Ball,
0.8703, No Shadow, Arrow,
1.0783, No Shadow, Arrow,
0.1609, No Shadow, Arrow,
0.8676, No Shadow, Tennis Ball,
0.3771, No Shadow, Tennis Ball,
0.7034, No Shadow, Tennis Ball,
