9.6622, With Shadow, Arrow,
3.6458, With Shadow, Arrow,
1.8860, With Shadow, Arrow,
7.2442, With Shadow, Tennis Ball,
0.4217, With Shadow, Tennis Ball,
1.8413, With Shadow, Tennis Ball,
7.8576, No Shadow, Arrow,
0.7818, No Shadow, Arrow,
1.7478, No Shadow, Arrow,
2.6090, No Shadow, Tennis Ball,
0.5489, No Shadow, Tennis Ball,
0.0919, No Shadow, Tennis Ball,
