0.0779, With Shadow, Arrow,
1.1504, With Shadow, Arrow,
1.2783, With Shadow, Arrow,
0.0748, With Shadow, Tennis Ball,
0.3672, With Shadow, Tennis Ball,
0.3478, With Shadow, Tennis Ball,
1.2211, No Shadow, Arrow,
0.6076, No Shadow, Arrow,
0.6980, No Shadow, Arrow,
0.3535, No Shadow, Tennis Ball,
0.2597, No Shadow, Tennis Ball,
0.4037, No Shadow, Tennis Ball,
